stations_name,latitude,longitude_x,number of bikes,name,distance,address,zip_code,city,longitude_y,categories
Hessenplatz ,48.301,14.29484,2,Tom Yam,66,Konrad-Vogel-Str. 11,4020.0,Linz,14.293,thai
Marktplatz,48.301,14.300158,12,Chizuru Japan Restaurant,253,Johann-Konrad-Vogel-Str. 11,4020.0,Linz,14.293,Restaurant
Marktplatz,48.301,14.300158,12,Kiernan's Kitty Irish Pub-Restaurant GmbH,267,Hessenplatz 19,4020.0,Linz,14.293,"Bar, Restaurant"
Marktplatz,48.301,14.300158,12,Restaurant Kaminloch,223,Baumbachstr. 18,4020.0,Linz,14.284,Restaurant
Marktplatz,48.301,14.300158,12,Cocktailbar Easy,525,Baumbachstr. 14,4020.0,Linz,14.285,cocktailbars
Marktplatz,48.301,14.300158,12,Il Caminetto,650,Hessenplatz 19,4020.0,Linz,14.293,italian
Marktplatz,48.301,14.300158,12,Non Solo Vino,44,Bischofstr. 15,4020.0,Linz,14.287,italian
Marktplatz,48.301,14.300158,12,Tom Yam,66,Konrad-Vogel-Str. 11,4020.0,Linz,14.293,thai
Martin Luther-Platz,48.301,14.29176,8,Chizuru Japan Restaurant,253,Johann-Konrad-Vogel-Str. 11,4020.0,Linz,14.293,Restaurant
Martin Luther-Platz,48.301,14.29176,8,Kiernan's Kitty Irish Pub-Restaurant GmbH,267,Hessenplatz 19,4020.0,Linz,14.293,"Bar, Restaurant"
Martin Luther-Platz,48.301,14.29176,8,Restaurant Kaminloch,223,Baumbachstr. 18,4020.0,Linz,14.284,Restaurant
Martin Luther-Platz,48.301,14.29176,8,Cocktailbar Easy,525,Baumbachstr. 14,4020.0,Linz,14.285,cocktailbars
Martin Luther-Platz,48.301,14.29176,8,Il Caminetto,650,Hessenplatz 19,4020.0,Linz,14.293,italian
Martin Luther-Platz,48.301,14.29176,8,Non Solo Vino,44,Bischofstr. 15,4020.0,Linz,14.287,italian
Martin Luther-Platz,48.301,14.29176,8,Tom Yam,66,Konrad-Vogel-Str. 11,4020.0,Linz,14.293,thai
Mühlkreisbahnstraße,48.312,14.280062,3,Amici,88,Verlängerte Kircheng. 15,4040.0,Linz,14.287,pizza
Pochestraße,48.305,14.292987,15,Restaurant Bar Absolut!on,49,Linz,,Linz,14.285,
Pochestraße,48.305,14.292987,15,IKAAN Restaurant Bar Cafe,75,Altstadt 16,4020.0,Linz,14.284,"Café, Indian Restaurant"
Pochestraße,48.305,14.292987,15,Restaurant Persia,168,Klosterstr. 1,4020.0,Linz,14.287,Restaurant
Pochestraße,48.305,14.292987,15,China-Restaurant Singapore,168,Klosterstr. 1,4020.0,Linz,14.287,Restaurant
Pochestraße,48.305,14.292987,15,Restaurant Die Drei Etagen,185,Hauptplatz 25,4020.0,Linz,14.287,"Hookah Bar, Coffee Shop, Fast Food Restaurant"
Pochestraße,48.305,14.292987,15,Restaurant Schlossberg GmbH,694,Schlossberg 1a,4020.0,Linz,14.282,Restaurant
Pochestraße,48.305,14.292987,15,Herberstein,45,Altstadt 10,4020.0,Linz,14.284,modern_european
Pochestraße,48.305,14.292987,15,muto,42,Altstadt 7,4020.0,Linz,14.284,austrian
